Index,RefDes,Qty.,DDI P/N#,DESC,MPN,VENDOR,DESC_EN
1.0,"R5, R8, R9, R10, R11, R12, R13, R19, R21",9.0,EL-01-0013,"RES,249K,1/10W,1%,0603,SMT",RC0603FR07249KL,,"RES,249K,1/10W,1%,0603,SMT"
2.0,"R17, R18",2.0,EL-01-0281,"RES, 10 OHM, 1/10W, 1%, 0603, SMT",NRC06F10R0TRF,,"RES, 10 OHM, 1/10W, 1%, 0603, SMT"
3.0,R1,1.0,EL-01-0263,"RES,0.0 OHM,1/10W,0603,SMT",NRC06Z0TRF,,"RES,0.0 OHM,1/10W,0603,SMT"
4.0,"R14,R20",2.0,EL-01-0264,"RES,100 OHM.5%,1/10W,0603,SMT",NRC06J101TRF,,"RES,100 OHM.5%,1/10W,0603,SMT"
5.0,R16,1.0,EL-01-0279,RES 150 OHM 1/10W 5% 0603 SMT   ,RC0603JR07150RL,,RES 150 OHM 1/10W 5% 0603 SMT   
6.0,R28,1.0,EL-01-0231,RES 300 OHM 1/10W 5% 0603 SMT   ,NRC06J301TRF,,RES 300 OHM 1/10W 5% 0603 SMT   
7.0,R15,1.0,EL-01-0231,RES 300 OHM 1/10W 5% 0603 SMT   ,NRC06J301TRF,,RES 300 OHM 1/10W 5% 0603 SMT   
8.0,"C1, C2, C3, C16",4.0,EL-02-0024,"CAP, 1uF,25V,20%,X5R,0603,SMT",C1608X5R1E105M080AC,,"CAP, 1uF,25V,20%,X5R,0603,SMT"
9.0,"C5, C6, C7, C8, C9, C10, C12, C13,C14,C19,C20",11.0,EL-02-0313,"CAP,0.1uF,25V,20%,0603,SMT",GRM188R71E104KA01D,,"CAP,0.1uF,25V,20%,0603,SMT"
10.0,"C11,C15",2.0,EL-02-0316,"CAP,0.01uF,16V,20%,0603,SMT",GRM188R71H103KA01D,,"CAP,0.01uF,16V,20%,0603,SMT"
11.0,"J1, J6, J7, J8, J10, J11",6.0,EL-08-3359,"CONN,FLAT,FLEX,SMT",10WT8P,,"CONN,FLAT,FLEX,SMT"
12.0,"J4 ,J9",2.0,EL-08-3441,"CONN,FLAT,4 PIN,NO LATCH",10WT4P,,"CONN,FLAT,4 PIN,NO LATCH"
13.0,CABLE3,1.0,EL-08-3445,"CABLE,FLAT,FLEX,4 PIN,120MM",PCJB4P5004488P7,,"CABLE,FLAT,FLEX,4 PIN,120MM"
14.0,"CABLE1, CABLE2, CABLE4",3.0,EL-08-3444,"CABLE,FCC,8 WIRE,120 MM",JSCAWHSZ4366,,"CABLE,FCC,8 WIRE,120 MM"
15.0,"SW1, SW2, SW3",3.0,EL-09-0411,"SWITCH,SLIDE,SP3T,0.1A,12V,TH",OS103011MS8QP1,,"SWITCH,SLIDE,SP3T,0.1A,12V,TH"
16.0,F1,1.0,EL-09-1173,FUSE 4A 125V 1206 SMT,C1Q4,,FUSE 4A 125V 1206 SMT
17.0,PCB,1.0,EL-10-1XXX-X,PCB,CADDESING,,PCB
18.0,IR BOARD SHROUD,1.0,1618BK.X0,IR BOARD SHROUD,DDI,,IR BOARD SHROUD
19.0,PAPER GUIDE IR FILTER INSERT,1.0,1616SG.X0,PAPER GUIDE IR FILTER INSERT,DDI,,PAPER GUIDE IR FILTER INSERT
20.0,KC SLIDE SWITCH COVER,3.0,188GY.X0,KC SLIDE SWITCH COVER,DDI,,KC SLIDE SWITCH COVER
21.0,"SCREW #6X1/3""PHLPANSMS SS",1.0,U-7110,"SCREW #6X1/3""PHLPANSMS SS",DDI,,"SCREW #6X1/3""PHLPANSMS SS"
22.0,CORRUGATED DIECUT ROLLEDEND TRAY,1.0,Z-6237,CORRUGATED DIECUT ROLLEDEND TRAY,DDI,,CORRUGATED DIECUT ROLLEDEND TRAY
