description,index,manufacturer_part_number,quantity,refdes
TC118S SOP-8_L4.9-W3.9-P1.27-LS6.0-BL,1,TC118S,8,"MD-1,MD-2,MD-3,MD-4,MD-5,MD-6,MD-7,MD-8"
"2-pin 5.00mm pitch connector, green, through-hole, MAX(迈旭)",2,MX126-5.0-02P-GN01-Cu-S-A,10,"CN1, CN12, CN13, CN14, CN15, CN16, CN17, CN18, CN-Input1"
"10uF 0402 Capacitor, C3, C1, C37, C38, C39, C40, C41, C42, C43",3,CL05A106MQ5NUNC,9,"C3, C1, C37, C38, C39, C40, C41, C42, C43"
"1N4007 A7 Diode, SOD-123FL package",4,1N4007 A7,8,"D4, D7, D8, D9, D10, D11, D12, D13"
"P1, P2, P3, P4, P5, P6, P7, P8",5,2.0-1*5P母,8,"P1, P2, P3, P4, P5, P6, P7, P8"
U18,6,U18,1,U18
100nF,7,CC0402KRX7R7BB104,1,C2
"RJ11-1, RJ11-2, RJ11-3, RJ11-4, RJ11-5, RJ11-6, RJ11-7, RJ11-8",8,R-RJ11R04P-A802,8,"RJ11-1, RJ11-2, RJ11-3, RJ11-4, RJ11-5, RJ11-6, RJ11-7, RJ11-8"
USB-C,9,TYPE-C 16PIN 2MD(073),1,
"5.1kΩ, 0402 Resistor",10,0402WGF5101TCE,2,"R1, R2"
U3,11,AMS1117-3.3,1,U3
10uF,12,CL10A106MP8NNNC,2,"C34,C23"
100nF 0603,13,TCC0603X7R104K500CT,2,"C33,C6"
470uF CAP-SMD_BD6.3-L6.6-W6.6-FD,14,RVT1A471M0607,2,"C36,C35"
"H-IN+1,H-OUT+1,H-IN-1,H-OUT-1",15,PZ254V-11-02P,4,
DC1,16,DC-005 2.0,1,DC1
IC2,17,,1,IC2
C5,18,VMMC0570J181MV,1,C5
220uF 24,19,RVT220UF16V67RV0015,1,C24
D6,20,1N5819W,1,1N5819W
"WROOM-LEFT2,WROOM-LEFT1,WROOM-RIGHT1,ESP-20P-LEFT,ESP-20P-RIGHT",21,PM2.54-1*20,5,"WROOM-LEFT2,WROOM-LEFT1,WROOM-RIGHT1,ESP-20P-LEFT,ESP-20P-RIGHT"
SuperMini-1,23,1,1,ESP32-C3-SuperMini
"ESPC3-Left, ESPC3-Right",24,C27438,2,
"U2, U29",25,HB-PH3-25418PB2GOP,2,"U2, U29"
"In-T,Out-T,Sp-T",26,ZX-XH2.54-3PZZ,3,
4.7kΩ resistor 0603 footprint,27,0603WAF4701T5E,1,R3
"Shift-2, Shift-1",28,SN74HC595PWR,2,"SHIFT-2, SHIFT-1"
"2.54-1*5P Female, Through-hole Header, 5P, Pitch 2.54mm, Vertical",29,2.54-1*5P母,1,H1
180Ω,30,0603WAF1800T5E,4,"R5, R6, R7, R4"
"SCREW1, SCREW2, SCREW3, SCREW4",31,SCREW1,4,"SCREW1,SCREW2,SCREW3,SCREW4"
i2c1,32,ZX-XH2.54-4PZZ,1,
SM04B-SRSS-TB(LF)(SN),33,SM04B-SRSS-TB(LF)(SN),1,CN10
i2c2,34,HC-1.0-4PWT,1,
i2c,35,2.54-2*2,1,
2.54-1*4P Female Connector,36,2.54-1*4P母,1,H2
