index,refdes,quantity,description,manufacturer_part_number
1,"MD-1, MD-2, MD-3, MD-4, MD-5, MD-6, MD-7, MD-8",8,"TC118S, SOP-8_L4.9-W3.9-P1.27-LS6.0-BL",TC118S
2,"CN1, CN12, CN13, CN14, CN15, CN16, CN17, CN18, CN-Input1, 5-12V-input",10,"CN1, CN12, CN13, CN14, CN15, CN16, CN17, CN18, CN-Input1.5-12V-Input",MX126-5.0-02P-GN01-Cu-S-A
3,"C3, C1, C37, C38, C39, C40, C41, C42, C43",9,10uF 0402 Capacitor,CL05A106MQ5NUNC
4,"D4, D7, D8, D9, D10, D11, D12, D13",8,1N4007 A7,1N4007 A7
5,"P1, P2, P3, P4, P5, P6, P7, P8",8,2.0-1*5P female HDR-TH_5P-P2.00-V-F-1,2.0-1*5P母
6,U18,1,U18,U18
7,C2,1,C2,CC0402KRX7R7BB104
8,"RJ11-1,RJ11-2,RJ11-3,RJ11-4,RJ11-5,RJ11-6,RJ11-7,RJ11-8",8,"RJ11-1, RJ11-2, RJ11-3, RJ11-4, RJ11-5, RJ11-6, RJ11-7, RJ11-8",R-RJ11R04P-A802
9,,1,USB-C,TYPE-C 16PIN 2MD(073)
10,"R1, R2",2,5.1kΩ 0402 resistor,0402WGF5101TCE
11,U3,1,U3,AMS1117-3.3
12,"C34,C23",2,10uF,CL10A106MP8NNNC
13,"C33,C6",2,100nF,TCC0603X7R104K500CT
14,"C36,C35",2,470uF CAP-SMD_BD6.3-L6.6-W6.6-FD,RVT1A471M0607
15,,4,"H-IN+1,H-OUT+1,H-IN-1,H-OUT-1",PZ254V-11-02P
16,DC1,1,DC1,DC-005 2.0
17,IC2,1,IC2,
18,C5,1,C5,VMMC0570J181MV
19,C24,1,Q24,RVT220UF16V67RV0015
20,1N5819W,1,D6,1N5819W
21,"WROOM-LEFT2,WROOM-LEFT1,WROOM-RIGHT1,ESP-20P-LEFT,ESP-20P-RIGHT",5,"WROOM-LEFT2,WROOM-LEFT1,WROOM-RIGHT1,ESP-20P-LEFT,ESP-20P-RIGHT",PM2.54-1*20
23,ESP32-C3-SuperMini,1,SuperMini-1,
24,"espc3-left,espc3-right",2,"ESPC3-Left, ESPC3-Right",C27438
25,"U2,U29",2,"U2, U29",HB-PH3-25418PB2GOP
26,,3,"In-T,Out-T,Sp-T",ZX-XH2.54-3PZZ
27,R3,1,4.7kΩ resistor 0603 footprint,0603WAF4701T5E
28,"SHIFT-2, SHIFT-1",2,"Shift-2, Shift-1",SN74HC595PWR
29,H1,1,2.54-1*5P Female Header HDR-TH_5P-P2.54-V-F,C50950
30,"R5, R6, R7, R4",4,"180Ω, 0603, UNI-ROYAL(厚声)",0603WAF1800T5E
31,"SCREW1,SCREW2,SCREW3,SCREW4",4,"SCREW1, SCREW2, SCREW3, SCREW4",SCREW1
32,,1,i2c1,ZX-XH2.54-4PZZ
33,CN10,1,"Connector, SMD, 4 positions, 1.00mm pitch, SM04B-SRSS-TB-LF-SN",SM04B-SRSS-TB(LF)(SN)
34,,1,i2c2,HC-1.0-4PWT
35,,1,i2c,2.54-2*2
36,H2,1,2.54-1*4P Female Header,C2718488
