ID,Name,DESC,Footprint,Quantity,MPN,Manufacturer,Supplier,Supplier Part,DESC_EN
1,TC118S,"MD-1,MD-2,MD-3,MD-4,MD-5,MD-6,MD-7,MD-8",SOP-8_L4.9-W3.9-P1.27-LS6.0-BL,8,TC118S,FM(富满),LCSC,C88308,"MD-1, MD-2, MD-3, MD-4, MD-5, MD-6, MD-7, MD-8"
2,MX126-5.0-02P-GN01-Cu-S-A,"CN1,CN12,CN13,CN14,CN15,CN16,CN17,CN18,CN-Input1,5-12V-input",CONN-TH_2P-P5.00_MX126-5.0-GN01-02P-CU-S-A,10,MX126-5.0-02P-GN01-Cu-S-A,MAX(迈旭),LCSC,C5188434,"CN1, CN12, CN13, CN14, CN15, CN16, CN17, CN18, CN-Input1.5-12V-Input"
3,10uF,"C3,C1,C37,C38,C39,C40,C41,C42,C43",C0402,9,CL05A106MQ5NUNC,SAMSUNG(三星),LCSC,C15525,"C3, C1, C37, C38, C39, C40, C41, C42, C43"
4,1N4007 A7,"D4,D7,D8,D9,D10,D11,D12,D13",SOD-123FL_L2.8-W1.8-LS3.7-RD,8,1N4007 A7,MSKSEMI(美森科),LCSC,C2902912,"D4, D7, D8, D9, D10, D11, D12, D13"
5,2.0-1*5P母,"P1,P2,P3,P4,P5,P6,P7,P8",HDR-TH_5P-P2.00-V-F-1,8,2.0-1*5P母,BOOMELE(博穆精密),LCSC,C66508,"P1, P2, P3, P4, P5, P6, P7, P8"
6,MOTOR,U18,,1,U18,,,,U18
7,100nF,C2,C0402,1,CC0402KRX7R7BB104,YAGEO(国巨),LCSC,C60474,C2
8,R-RJ11R04P-A802,"RJ11-1,RJ11-2,RJ11-3,RJ11-4,RJ11-5,RJ11-6,RJ11-7,RJ11-8",RJ11-TH_616-PCB-4P4C-90,8,R-RJ11R04P-A802,Ckmtw(灿科盟),LCSC,C189737,"RJ11-1, RJ11-2, RJ11-3, RJ11-4, RJ11-5, RJ11-6, RJ11-7, RJ11-8"
9,TYPE-C 16PIN 2MD(073),USB-C,USB-C-SMD_TYPE-C-6PIN-2MD-073,1,TYPE-C 16PIN 2MD(073),SHOU HAN(首韩),LCSC,C2765186,USB-C
10,5.1kΩ,"R1,R2",R0402,2,0402WGF5101TCE,UNI-ROYAL(厚声),LCSC,C25905,"R1, R2"
11,AMS1117-3.3,U3,SOT-223-4_L6.5-W3.5-P2.30-LS7.0-BR,1,AMS1117-3.3,UMW(友台半导体),LCSC,C347222,U3
12,10uF,"C34,C23",C0603,2,CL10A106MP8NNNC,SAMSUNG,LCSC,C85713,"Q34, C23"
13,100nF,"C33,C6",C0603,2,TCC0603X7R104K500CT,CCTC,LCSC,C282519,"Q33, Q6"
14,470uF,"C36,C35",CAP-SMD_BD6.3-L6.6-W6.6-FD,2,RVT1A471M0607,ROQANG(容强),LCSC,C2858856,"Q36, Q35"
15,PZ254V-11-02P,"H-IN+1,H-OUT+1,H-IN-1,H-OUT-1",HDR-TH_2P-P2.54-V-M,4,PZ254V-11-02P,XFCN(兴飞),LCSC,C492401,"H-IN+1,H-OUT+1,H-IN-1,H-OUT-1"
16,DC-005 2.0,DC1,DC-IN-TH_DC-5520-1,1,DC-005 2.0,BOOMELE(博穆精密),LCSC,C16214,DC1
17,XL1509M,IC2,footprint_e3c5,1,IC2,,,,IC2
18,180uF,C5,CAP-SMD_BD6.3-L6.6-W6.6-FD-2,1,VMMC0570J181MV,Ymin(永铭),LCSC,C487000,C5
19,220uF,C24,CAP-SMD_BD6.3-L6.6-W6.6-FD,1,RVT220UF16V67RV0015,KNSCHA(科尼盛),LCSC,C2887273,Q24
20,1N5819W,D6,SOD-123_L2.7-W1.6-LS3.7-R-RD,1,1N5819W,JSMSEMI(杰盛微),LCSC,C963381,D6
21,PM2.54-1*20,"WROOM-LEFT2,WROOM-LEFT1,WROOM-RIGHT1,ESP-20P-LEFT,ESP-20P-RIGHT",HDR-TH_20P-P2.54-V-F,5,PM2.54-1*20,ZHOURI(洲日),LCSC,C5224030,"WROOM-LEFT2,WROOM-LEFT1,WROOM-RIGHT1,ESP-20P-LEFT,ESP-20P-RIGHT"
23,ESP32-C3-SuperMini,supermini-1,ESP32-C3-SuperMini,1,1,,,,SuperMini-1
24,2.54-1*8P母环保,"espc3-left,espc3-right",HDR-TH_8P-P2.54-V-F-1,2,2.54-1*8P母环保,BOOMELE(博穆精密),LCSC,C27438,"ESPC3-Left, ESPC3-Right"
25,HB-PH3-25418PB2GOP,"U2,U29",HDR-TH_8P-P2.54-V-M,2,HB-PH3-25418PB2GOP,HANBO(汉博),LCSC,C6332201,"U2, U29"
26,ZX-XH2.54-3PZZ,"In-T,Out-T,Sp-T",CONN-TH_3P-P2.54_2501S-3P,3,ZX-XH2.54-3PZZ,Megastar(兆星),LCSC,C7429633,"In-T,Out-T,Sp-T"
27,4.7kΩ,R3,R0603,1,0603WAF4701T5E,UNI-ROYAL(厚声),LCSC,C23162,R3
28,SN74HC595PWR,"SHIFT-2,SHIFT-1",TSSOP-16_L5.0-W4.4-P0.65-LS6.4-BL,2,SN74HC595PWR,TI(德州仪器),LCSC,C273642,"Shift-2, Shift-1"
29,2.54-1*5P母,H1,HDR-TH_5P-P2.54-V-F,1,2.54-1*5P母,BOOMELE(博穆精密),LCSC,C50950,H1
30,180Ω,"R5,R6,R7,R4",R0603,4,0603WAF1800T5E,UNI-ROYAL(厚声),LCSC,C22828,"R5, R6, R7, R4"
31,Screw-Hole-M2,"SCREW1,SCREW2,SCREW3,SCREW4",Screw-Hole-M2,4,SCREW1,,,,"SCREW1, SCREW2, SCREW3, SCREW4"
32,ZX-XH2.54-4PZZ,i2c1,CONN-TH_4P-P2.50_4PIN,1,ZX-XH2.54-4PZZ,Megastar(兆星),LCSC,C7429634,i2c1
