index,refdes,quantity,description,manufacturer_part_number
1,"R5, R8, R9, R10, R11, R12, R13, R19, R21",9,"RES,249K,1/10W,1%,0603,SMT",RC0603FR07249KL
2,"R17, R18",2,"RES, 10 OHM, 1/10W, 1%, 0603, SMT",NRC06F10R0TRF
3,R1,1,"RES,0.0 OHM,1/10W,0603,SMT",NRC06Z0TRF
4,"R14,R20",2,"RES,100 OHM.5%,1/10W,0603,SMT",NRC06J101TRF
5,R16,1,RES 150 OHM 1/10W 5% 0603 SMT,RC0603JR07150RL
6,R28,1,RES 300 OHM 1/10W 5% 0603 SMT,NRC06J301TRF
7,R15,1,RES 300 OHM 1/10W 5% 0603 SMT,NRC06J301TRF
8,"C1, C2, C3, C16",4,"CAP, 1uF,25V,20%,X5R,0603,SMT",C1608X5R1E105M080AC
9,"C5, C6, C7, C8, C9, C10, C12, C13,C14,C19,C20",11,"CAP,0.1uF,25V,20%,0603,SMT",GRM188R71E104KA01D
10,"C11,C15",2,"CAP,0.01uF,16V,20%,0603,SMT",GRM188R71H103KA01D
11,"J1, J6, J7, J8, J10, J11",6,"CONN,FLAT,FLEX,SMT",10WT8P
12,"J4 ,J9",2,"CONN,FLAT,4 PIN,NO LATCH",10WT4P
13,CABLE3,1,"CABLE,FLAT,FLEX,4 PIN,120MM",PCJB4P5004488P7
14,"CABLE1, CABLE2, CABLE4",3,"CABLE,FCC,8 WIRE,120 MM",JSCAWHSZ4366
15,"SW1, SW2, SW3",3,"SWITCH,SLIDE,SP3T,0.1A,12V,TH",OS103011MS8QP1
16,F1,1,FUSE 4A 125V 1206 SMT,C1Q4
17,PCB,1,PCB,CADDESING
18,IR BOARD SHROUD,1,IR BOARD SHROUD,
19,PAPER GUIDE IR FILTER INSERT,1,PAPER GUIDE IR FILTER INSERT,1616SG.X0
20,KC SLIDE SWITCH COVER,3,KC SLIDE SWITCH COVER,188GY.X0
21,"SCREW #6X1/3""PHLPANSMS SS",1,"SCREW #6X1/3""PHLPANSMS SS",U-7110
22,CORRUGATED DIECUT ROLLEDEND TRAY,1,CORRUGATED DIECUT ROLLEDEND TRAY,Z-6237
